Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,60000.0,30000.0,0.5,In-store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000.0,50000.0,15000.0,0.3,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000.0,40000.0,14000.0,0.35,In-store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850.0,38250.0,13387.5,0.35,In-store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,0.3,In-store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000.0,50000.0,12500.0,0.25,In-store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,1250.0,62500.0,31250.0,0.5,In-store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,45000.0,13500.0,0.3,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,38000.0,13300.0,0.35,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,37125.0,12993.749999999998,0.35,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,0.3,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,1000.0,50000.0,12500.0,0.25,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,1220.0,61000.0,30500.0,0.5,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925.0,46250.0,13875.0,0.3,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,38000.0,13300.0,0.35,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800.0,36000.0,12599.999999999998,0.35,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850.0,51000.0,15300.0,0.3,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950.0,47500.0,11875.0,0.25,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,60000.0,30000.0,0.5,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,45000.0,13500.0,0.3,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900.0,36000.0,12599.999999999998,0.35,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,37125.0,12993.749999999998,0.35,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825.0,49500.0,14850.0,0.3,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950.0,47500.0,11875.0,0.25,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,1220.0,73200.0,36600.0,0.5,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925.0,50875.00000000001,15262.5,0.3,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900.0,45000.0,15750.0,0.35,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850.0,42500.0,14875.0,0.35,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875.0,52500.0,15750.0,0.3,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000.0,65000.0,16250.0,0.25,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,75000.0,37500.0,0.5,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000.0,55000.000000000015,16500.000000000004,0.3,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,46250.0,16187.5,0.35,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,45000.0,15750.0,0.35,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,0.3,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050.0,68250.0,17062.5,0.25,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275.0,76500.0,38250.0,0.5,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025.0,56375.000000000015,16912.500000000004,0.3,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,47500.0,16625.0,0.35,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,45000.0,15750.0,0.35,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925.0,55500.0,16650.0,0.3,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,1100.0,71500.0,17875.0,0.25,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,75000.0,37500.0,0.5,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025.0,56375.000000000015,16912.500000000004,0.3,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,47500.0,16625.0,0.35,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925.0,46250.0,16187.5,0.35,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,0.3,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075.0,69875.0,17468.75,0.25,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200.0,72000.0,36000.0,0.5,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000.0,55000.000000000015,16500.000000000004,0.3,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,46250.0,16187.5,0.35,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,45000.0,15750.0,0.35,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,0.3,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000.0,65000.0,16250.0,0.25,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875.0,56875.0,17062.5,0.3,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000.0,70000.0,17500.0,0.25,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150.0,74750.0,37375.0,0.5,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,975.0,53625.000000000015,16087.500000000004,0.3,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,920.0,50600.00000000001,17710.0,0.35,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900.0,49500.00000000001,17325.0,0.35,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875.0,56875.0,17062.5,0.3,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975.0,68250.0,17062.5,0.25,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,1200.0,78000.0,39000.0,0.5,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000.0,55000.000000000015,16500.000000000004,0.3,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,950.0,52250.00000000001,18287.5,0.35,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900.0,49500.00000000001,17325.0,0.35,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900.0,58500.0,17550.0,0.3,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,1000.0,70000.0,17500.0,0.25,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900.0,22500.0,7875.0,0.35,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900.0,31500.0,11025.0,0.35,Outlet
